로우데이터 식별자,수집 출처,카테고리,외부 상품 식별자,상품 이미지 URL,상품 상세 URL,상품명,판매 몰 이름,판매가,할인율(%),임의 정가,수집 시각,색깔데이터 식별자,원본 색상명,클라이언트 반환용 색상명,브랜드,기본 배송비,무료 배송 조건
457,soozip,FURNITURE,730,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/008e9aeb01c38085545148040431d2b9.jpg,https://soozip.co.kr/product/감각-낮은-쿠션-벤치수납장-현관스툴-거실-홈카페-아일랜드식탁의자-8001200-2type/730/category/75/display/1/,감각 낮은 쿠션 벤치수납장 현관스툴 거실 홈카페 아일랜드식탁의자 800/1200 (2type),SOOZIP,103900.0,37,1649207,2026-01-27 18:46:03.121802,29,화이트,,트루베퍼니쳐,17000,
457,soozip,FURNITURE,730,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/008e9aeb01c38085545148040431d2b9.jpg,https://soozip.co.kr/product/감각-낮은-쿠션-벤치수납장-현관스툴-거실-홈카페-아일랜드식탁의자-8001200-2type/730/category/75/display/1/,감각 낮은 쿠션 벤치수납장 현관스툴 거실 홈카페 아일랜드식탁의자 800/1200 (2type),SOOZIP,103900.0,37,1649207,2026-01-27 18:46:03.121802,29,오크,,트루베퍼니쳐,17000,
457,soozip,FURNITURE,730,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/008e9aeb01c38085545148040431d2b9.jpg,https://soozip.co.kr/product/감각-낮은-쿠션-벤치수납장-현관스툴-거실-홈카페-아일랜드식탁의자-8001200-2type/730/category/75/display/1/,감각 낮은 쿠션 벤치수납장 현관스툴 거실 홈카페 아일랜드식탁의자 800/1200 (2type),SOOZIP,103900.0,37,1649207,2026-01-27 18:46:03.121802,29,월넛,,트루베퍼니쳐,17000,
458,soozip,FURNITURE,729,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/741b6f9565627ce710b7689fad2017cb.jpg,https://soozip.co.kr/product/감각-2단-양면수납책장-800-매거진랙-수납장-3colors/729/category/75/display/1/,감각 2단 양면수납책장 800 매거진랙 수납장 (3colors),SOOZIP,139000.0,0,1390000,2026-01-27 18:46:03.121802,30,화이트,,트루베퍼니쳐,17000,
458,soozip,FURNITURE,729,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/741b6f9565627ce710b7689fad2017cb.jpg,https://soozip.co.kr/product/감각-2단-양면수납책장-800-매거진랙-수납장-3colors/729/category/75/display/1/,감각 2단 양면수납책장 800 매거진랙 수납장 (3colors),SOOZIP,139000.0,0,1390000,2026-01-27 18:46:03.121802,30,오크,,트루베퍼니쳐,17000,
458,soozip,FURNITURE,729,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/741b6f9565627ce710b7689fad2017cb.jpg,https://soozip.co.kr/product/감각-2단-양면수납책장-800-매거진랙-수납장-3colors/729/category/75/display/1/,감각 2단 양면수납책장 800 매거진랙 수납장 (3colors),SOOZIP,139000.0,0,1390000,2026-01-27 18:46:03.121802,30,월넛,,트루베퍼니쳐,17000,
459,soozip,FURNITURE,728,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/8948a2b1c5e810be8b49919e928f6a51.jpg,https://soozip.co.kr/product/핏-led조명-틈새-선반-침대-사이드-테이블-협탁-헤드선반-550800-2type/728/category/75/display/1/,핏 LED조명 틈새 선반 침대 사이드 테이블 협탁 헤드선반 550/800 2type,SOOZIP,79900.0,0,799000,2026-01-27 18:46:03.121802,31,화이트,,트루베퍼니쳐,10000,
459,soozip,FURNITURE,728,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20260102/8948a2b1c5e810be8b49919e928f6a51.jpg,https://soozip.co.kr/product/핏-led조명-틈새-선반-침대-사이드-테이블-협탁-헤드선반-550800-2type/728/category/75/display/1/,핏 LED조명 틈새 선반 침대 사이드 테이블 협탁 헤드선반 550/800 2type,SOOZIP,79900.0,0,799000,2026-01-27 18:46:03.121802,31,오크,,트루베퍼니쳐,10000,
460,soozip,FURNITURE,726,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251231/2ab85b5a56f77b26a0b50227edaf91ba.jpg,https://soozip.co.kr/product/detail.html?product_no=726&cate_no=75&display_group=1,리샘 모브 360도 3단 회전책장 회전책꽂이 수납선반,SOOZIP,169900.0,0,1699000,2026-01-27 18:46:03.121802,32,화이트,,리샘,30000,
460,soozip,FURNITURE,726,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251231/2ab85b5a56f77b26a0b50227edaf91ba.jpg,https://soozip.co.kr/product/detail.html?product_no=726&cate_no=75&display_group=1,리샘 모브 360도 3단 회전책장 회전책꽂이 수납선반,SOOZIP,169900.0,0,1699000,2026-01-27 18:46:03.121802,32,헤이즐넛,,리샘,30000,
