id,fetched_at,product_id,product_image_url,product_mall_name,product_name,product_site_url,source,category,discount_price,discount_rate,list_price,base_shipping_fee,brand,free_shipping_condition,furniture_tag_id
555,2026-01-27 18:46:03.121802,603,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251114/234d1145ab7539a9547528a48c97f2e9.jpg,SOOZIP,소프시스 메이저 데스크 책상 1000x600,https://soozip.co.kr/product/소프시스-메이저-데스크-책상-1000x600/603/category/75/display/1/,soozip,FURNITURE,45900,42,791380,0,소프시스,,5
556,2026-01-27 18:46:03.121802,595,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251105/ddc0073731b55c9d73b758940401d5c4.jpg,SOOZIP,룸앤홈 더블린 크롬 디자인 체어,https://soozip.co.kr/product/detail.html?product_no=595&cate_no=75&display_group=1,soozip,FURNITURE,54900,17,661446,12000,룸앤홈,,6
557,2026-01-27 18:46:03.121802,587,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251024/aaa6435edb372d478ac196d8f573d030.png,SOOZIP,블랑 메탈 사이드 테이블 3color,https://soozip.co.kr/product/블랑-메탈-사이드-테이블-3color/587/category/75/display/1/,soozip,FURNITURE,49900,0,499000,7000,자니즈,,7
558,2026-01-27 18:46:03.121802,586,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251021/5bb06cd74714296f1d3c5e476b29b424.jpg,SOOZIP,룸앤홈 앤드 원형 사이드 테이블 2size 3color,https://soozip.co.kr/product/룸앤홈-앤드-원형-사이드-테이블-2size-3color/586/category/75/display/1/,soozip,FURNITURE,34900,0,349000,5000,룸앤홈,,8
559,2026-01-27 18:46:03.121802,585,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251019/bb093da44972a3e1d305dd6d4818f50f.jpg,SOOZIP,블랑 컬러핏 선반 4color,https://soozip.co.kr/product/블랑-컬러핏-선반-4color/585/category/75/display/1/,soozip,FURNITURE,48000,0,480000,3000,자니즈,,9
560,2026-01-27 18:46:03.121802,579,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251010/78768416cfce15f48339f200ba4a6f3d.jpg,SOOZIP,룸앤홈 데일리조립식서랍장L(3단)(아이보리),https://soozip.co.kr/product/룸앤홈-데일리조립식서랍장l3단아이보리/579/category/75/display/1/,soozip,FURNITURE,49900,43,875439,6000,룸앤홈,,10
561,2026-01-27 18:46:03.121802,578,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251010/6fd889a350b43d457f131f09bc053421.jpg,SOOZIP,편안한 프리모 메쉬 사무용 책상의자 2type 3color,https://soozip.co.kr/product/편안한-프리모-메쉬-사무용-책상의자-2type-3color/578/category/75/display/1/,soozip,FURNITURE,54900,0,549000,5000,룸앤홈,,11
562,2026-01-27 18:46:03.121802,577,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251010/f82914c52d9e8b5a90160b3138fb9414.jpg,SOOZIP,마레 알루미늄프레임 전신거울 500*1600,https://soozip.co.kr/product/마레-알루미늄프레임-전신거울-5001600/577/category/75/display/1/,soozip,FURNITURE,45900,30,655715,20000,룸앤홈,,12
563,2026-01-27 18:46:03.121802,575,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251009/6be9303c406f567dfe27c5754538685e.jpg,SOOZIP,모노 크롬의자 3color,https://soozip.co.kr/product/모노-크롬의자-3color/575/category/75/display/1/,soozip,FURNITURE,55900,25,745334,7000,자니즈,,13
564,2026-01-27 18:46:03.121802,574,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251002/cc61348b147a2f7d34ca50aef42158ce.jpg,SOOZIP,룸앤홈 보스톤 크롬 스툴 5color,https://soozip.co.kr/product/룸앤홈-보스톤-크롬-스툴-5color/574/category/75/display/1/,soozip,FURNITURE,27900,47,526416,7000,룸앤홈,,14
565,2026-01-27 18:46:03.121802,573,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251002/a9d51b9b5909e9510f6614a81d8f1fbb.jpg,SOOZIP,룸앤홈 발트 크롬 슬라이드 800 수납장 2color 2type,https://soozip.co.kr/product/룸앤홈-발트-크롬-슬라이드-800-수납장-2color-2type/573/category/75/display/1/,soozip,FURNITURE,159000,34,2409091,30000,룸앤홈,,15
566,2026-01-27 18:46:03.121802,567,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250930/9ab82d34e789c920b7f86c882a6502d2.jpg,SOOZIP,루단 접이식의자 아이보리,https://soozip.co.kr/product/루단-접이식의자-아이보리/567/category/75/display/1/,soozip,FURNITURE,37900,0,379000,0,자니즈,,16
567,2026-01-27 18:46:03.121802,556,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250925/087faeb6815ad7431d62de02a4e2a2ce.jpg,SOOZIP,룸앤홈 아치 커브 스탠드 행거 2color,https://soozip.co.kr/product/룸앤홈-아치-커브-스탠드-행거-2color/556/category/75/display/1/,soozip,FURNITURE,29900,27,409590,5000,룸앤홈,,17
568,2026-01-27 18:46:03.121802,550,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250922/3fc38e1848c8f0007babf3181c6f6d9c.jpg,SOOZIP,룸앤홈 데일리 다용도 진열장 2단/3단/4단/5단 2color,https://soozip.co.kr/product/detail.html?product_no=550&cate_no=75&display_group=1,soozip,FURNITURE,16900,0,169000,5000,룸앤홈,,18
569,2026-01-27 18:46:03.121802,549,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250922/3ca26dd4a2ddabb3d54a63fc12e088d8.jpg,SOOZIP,룸앤홈 모노 라운드 조립식 선반 800/1000 2type,https://soozip.co.kr/product/룸앤홈-모노-라운드-조립식-선반-8001000-2type/549/category/75/display/1/,soozip,FURNITURE,22900,27,313699,5000,룸앤홈,,19
570,2026-01-27 18:46:03.121802,548,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250922/922e3c0a8d5c7345038f814777376b62.jpg,SOOZIP,룸앤홈 어반 드레스룸 시스템행거 400/800/1200 8type,https://soozip.co.kr/product/룸앤홈-어반-드레스룸-시스템행거-4008001200-8type/548/category/75/display/1/,soozip,FURNITURE,49900,46,924075,10000,룸앤홈,,20
571,2026-01-27 18:46:03.121802,547,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250922/9c58fceec5b401dad2c4c4772361f26c.jpg,SOOZIP,룸앤홈 발트 크롬 선반 400/600/1000 2color,https://soozip.co.kr/product/룸앤홈-발트-크롬-선반-4006001000-2color/547/category/75/display/1/,soozip,FURNITURE,79000,0,790000,25000,룸앤홈,,21
572,2026-01-27 18:46:03.121802,544,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251009/f360b169cad0cd22148f7920f5dffe77.png,SOOZIP,메탈 오브제 선반 2size,https://soozip.co.kr/product/메탈-오브제-선반-2size/544/category/75/display/1/,soozip,FURNITURE,89000,16,1059524,0,자니즈,,22
573,2026-01-27 18:46:03.121802,543,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250919/6d17432d6d67c1456495f47bf5dd6210.jpg,SOOZIP,룸앤홈 발트 크롬 화장대 2color,https://soozip.co.kr/product/룸앤홈-발트-크롬-화장대-2color/543/category/75/display/1/,soozip,FURNITURE,119000,0,1190000,30000,룸앤홈,,23
574,2026-01-27 18:46:03.121802,542,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250919/4dbdb6b08a8e5d1cacf4d5d4f0b4c96c.jpg,SOOZIP,룸앤홈 폰드 웨이브 데코거울 2size,https://soozip.co.kr/product/룸앤홈-폰드-웨이브-데코거울-2size/542/category/75/display/1/,soozip,FURNITURE,27900,31,404348,3000,룸앤홈,,24
575,2026-01-27 18:46:03.121802,540,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250919/fa0f4bac69fbd894f5b98bbe6124d214.jpg,SOOZIP,룸앤홈 메쉬 접이바 스툴(아이보리),https://soozip.co.kr/product/룸앤홈-메쉬-접이바-스툴아이보리/540/category/75/display/1/,soozip,FURNITURE,28900,5,304211,0,룸앤홈,,25
576,2026-01-27 18:46:03.121802,534,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250917/7694af9836a8838adf4567229091d812.jpg,SOOZIP,룸앤홈 데일리 조립식 거실장 2단/3단 2color,https://soozip.co.kr/product/룸앤홈-데일리-조립식-거실장-2단3단-2color/534/category/75/display/1/,soozip,FURNITURE,44900,0,449000,8000,룸앤홈,,26
577,2026-01-27 18:46:03.121802,533,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250917/6fc06a4ef19bd84bbe83857eaae6fa00.jpg,SOOZIP,룸앤홈 양면 메쉬 수납 행거 M/L 2color,https://soozip.co.kr/product/룸앤홈-양면-메쉬-수납-행거-ml-2color/533/category/75/display/1/,soozip,FURNITURE,28900,0,289000,5000,룸앤홈,,27
578,2026-01-27 18:46:03.121802,532,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250916/dd48407999d649720f4d160a39726aa6.jpg,SOOZIP,룸앤홈 발트 라운드 수납 선반 2단/3단/4단 3color,https://soozip.co.kr/product/룸앤홈-발트-라운드-수납-선반-2단3단4단-3color/532/category/75/display/1/,soozip,FURNITURE,39900,0,399000,5000,룸앤홈,,28
579,2026-01-27 18:46:03.121802,531,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250916/e2896dca4e06534b62af3f93be461540.jpg,SOOZIP,룸앤홈 템바조립식서랍장L(아이보리) 3size,https://soozip.co.kr/product/룸앤홈-템바조립식서랍장l아이보리-3size/531/category/75/display/1/,soozip,FURNITURE,49900,21,631646,6000,룸앤홈,,29
580,2026-01-27 18:46:03.121802,523,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250915/fd341dcb4a9d345210953ee333d36bf7.jpg,SOOZIP,룸앤홈 스프링 유리 테이블 2size,https://soozip.co.kr/product/detail.html?product_no=523&cate_no=75&display_group=1,soozip,FURNITURE,69000,0,690000,20000,룸앤홈,,30
581,2026-01-27 18:46:03.121802,522,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250915/c4cd45a8876f295a71bc1046c2c68289.jpg,SOOZIP,룸앤홈 피넛 유리 거실 테이블 2size,https://soozip.co.kr/product/룸앤홈-피넛-유리-거실-테이블-2size/522/category/75/display/1/,soozip,FURNITURE,74900,47,1413208,20000,룸앤홈,,31
582,2026-01-27 18:46:03.121802,513,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250904/723f6851f96c8bd221a51f5dde79a828.jpg,SOOZIP,A형 메탈 스툴 2size,https://soozip.co.kr/product/a형-메탈-스툴-2size/513/category/75/display/1/,soozip,FURNITURE,28900,0,289000,9000,자니즈,,32
583,2026-01-27 18:46:03.121802,512,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251009/c05a2898769bfcce0f980a1feb0e57b7.png,SOOZIP,밀라 반원 테이블 2color,https://soozip.co.kr/product/밀라-반원-테이블-2color/512/category/75/display/1/,soozip,FURNITURE,49000,42,844828,6000,자니즈,,33
584,2026-01-27 18:46:03.121802,511,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250904/7ada84c77550add2de7c0604fb18eecc.jpg,SOOZIP,밀라체어B,https://soozip.co.kr/product/밀라체어b/511/category/75/display/1/,soozip,FURNITURE,59000,0,590000,0,자니즈,,34
585,2026-01-27 18:46:03.121802,508,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250816/2a448fc73eb9c88d2d1935e25c3bf6b7.jpg,SOOZIP,휴지통 수납장 선반세트 1200 3color,https://soozip.co.kr/product/휴지통-수납장-선반세트-1200-3color/508/category/75/display/1/,soozip,FURNITURE,198000,0,1980000,30000,자니즈,,35
586,2026-01-27 18:46:03.121802,504,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250816/4e92f7ab84b40b54bae4193fb963891c.jpg,SOOZIP,맥난 원형스툴 44 2color,https://soozip.co.kr/product/맥난-원형스툴-44-2color/504/category/75/display/1/,soozip,FURNITURE,16900,0,169000,3000,자니즈,,36
587,2026-01-27 18:46:03.121802,502,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20251009/7915b76caf994b946c92aa9dffb4105d.png,SOOZIP,맥스 책상 테이블 2size,https://soozip.co.kr/product/맥스-책상-테이블-2size/502/category/75/display/1/,soozip,FURNITURE,67400,0,674000,6500,자니즈,,37
588,2026-01-27 18:46:03.121802,501,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250808/48d3b69e868a911eab0c81a2d961d577.jpg,SOOZIP,크롬 원형 테이블 2size,https://soozip.co.kr/product/크롬-원형-테이블-2size/501/category/75/display/1/,soozip,FURNITURE,79300,0,793000,15500,자니즈,,38
589,2026-01-27 18:46:03.121802,500,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250808/635766d2003f48f146d896995d8948ab.jpg,SOOZIP,크롬 수납 선반 2size,https://soozip.co.kr/product/크롬-수납-선반-2size/500/category/75/display/1/,soozip,FURNITURE,48900,0,489000,5500,자니즈,,39
590,2026-01-27 18:46:03.121802,496,https://ecimg.cafe24img.com/pg593b88108200032/janiz/web/product/medium/20250803/7efb9d27257abd06f4d3924f788d9ac8.jpg,SOOZIP,원목 책상 2color,https://soozip.co.kr/product/원목-책상-2color/496/category/75/display/1/,soozip,FURNITURE,139000,45,2527273,16000,자니즈,,40
